# threads	schedule	chunk_size	time	speedup
2	static	1	45.4929	1.80487
2	static	4	44.9368	1.8272
2	static	8	44.6531	1.83881
2	static	16	44.5889	1.84146
2	dynamic	1	45.7881	1.79323
2	dynamic	4	44.7423	1.83515
2	dynamic	8	44.554	1.8429
2	dynamic	16	44.4393	1.84766
2	guided	1	44.2483	1.85564
2	guided	4	44.1904	1.85807
2	guided	8	44.2694	1.85475
2	guided	16	44.3608	1.85093
2	auto	1	44.2574	1.85526
2	auto	4	44.2804	1.85429
2	auto	8	44.2722	1.85464
2	auto	16	44.3281	1.8523
4	static	1	23.1986	3.53938
4	static	4	23.0946	3.55532
4	static	8	23.0244	3.56616
4	static	16	22.9832	3.57255
4	dynamic	1	23.5693	3.48372
4	dynamic	4	23.0234	3.56632
4	dynamic	8	22.8066	3.60022
4	dynamic	16	22.7685	3.60624
4	guided	1	22.6973	3.61755
4	guided	4	22.7104	3.61547
4	guided	8	22.7392	3.61089
4	guided	16	22.6942	3.61805
4	auto	1	22.689	3.61887
4	auto	4	22.7027	3.61669
4	auto	8	22.753	3.6087
4	auto	16	22.6735	3.62136
6	static	1	15.8308	5.18663
6	static	4	16.1938	5.07038
6	static	8	15.5267	5.28825
6	static	16	16.0637	5.11144
6	dynamic	1	17.1617	4.78442
6	dynamic	4	16.2685	5.04711
6	dynamic	8	16.1096	5.09689
6	dynamic	16	15.9703	5.14134
6	guided	1	15.8963	5.16528
6	guided	4	16.0816	5.10577
6	guided	8	15.9105	5.16068
6	guided	16	16.2031	5.06747
6	auto	1	15.8778	5.17129
6	auto	4	15.9792	5.13848
6	auto	8	15.919	5.15793
6	auto	16	16.0649	5.11105
8	static	1	11.8536	6.92693
8	static	4	11.7127	7.01024
8	static	8	11.661	7.04134
8	static	16	11.6321	7.0588
8	dynamic	1	13.2575	6.19339
8	dynamic	4	12.4401	6.60031
8	dynamic	8	13.3092	6.16932
8	dynamic	16	12.2138	6.72261
8	guided	1	12.1507	6.75754
8	guided	4	12.2282	6.71469
8	guided	8	14.8113	5.54367
8	guided	16	12.766	6.43182
8	auto	1	12.3482	6.64944
8	auto	4	12.3688	6.63838
8	auto	8	12.5079	6.56455
8	auto	16	12.471	6.58399
10	static	1	9.88512	8.3063
10	static	4	9.73113	8.43774
10	static	8	9.54778	8.59978
10	static	16	9.56439	8.58484
10	dynamic	1	10.6871	7.68298
10	dynamic	4	9.88885	8.30317
10	dynamic	8	9.7292	8.43942
10	dynamic	16	9.91952	8.27749
10	guided	1	9.68996	8.47359
10	guided	4	9.69375	8.47028
10	guided	8	9.75378	8.41815
10	guided	16	9.96064	8.24332
10	auto	1	9.68604	8.47702
10	auto	4	9.70739	8.45838
10	auto	8	9.74207	8.42826
10	auto	16	9.86374	8.3243
12	static	1	8.24833	9.95459
12	static	4	8.29575	9.89769
12	static	8	8.05003	10.1998
12	static	16	8.2523	9.9498
12	dynamic	1	8.66749	9.47318
12	dynamic	4	8.0497	10.2002
12	dynamic	8	8.39378	9.7821
12	dynamic	16	7.94874	10.3298
12	guided	1	7.8579	10.4492
12	guided	4	7.89679	10.3977
12	guided	8	7.92594	10.3595
12	guided	16	7.99178	10.2741
12	auto	1	8.01675	10.2421
12	auto	4	7.89892	10.3949
12	auto	8	7.91793	10.37
12	auto	16	8.02883	10.2267
14	static	1	7.33753	11.1903
14	static	4	7.2571	11.3143
14	static	8	7.24832	11.328
14	static	16	7.08158	11.5947
14	dynamic	1	7.69329	10.6728
14	dynamic	4	7.16068	11.4666
14	dynamic	8	6.95154	11.8116
14	dynamic	16	6.90706	11.8876
14	guided	1	6.98705	11.7516
14	guided	4	6.76217	12.1424
14	guided	8	6.78851	12.0953
14	guided	16	6.86929	11.953
14	auto	1	6.76517	12.137
14	auto	4	6.95466	11.8063
14	auto	8	6.7884	12.0955
14	auto	16	6.86817	11.955
16	static	1	6.51183	12.6092
16	static	4	6.38906	12.8515
16	static	8	6.70915	12.2383
16	static	16	6.82794	12.0254
16	dynamic	1	7.22273	11.3681
16	dynamic	4	6.94246	11.827
16	dynamic	8	6.75758	12.1506
16	dynamic	16	6.49396	12.6439
16	guided	1	6.54874	12.5381
16	guided	4	6.55852	12.5194
16	guided	8	6.59786	12.4448
16	guided	16	6.80767	12.0612
16	auto	1	7.11018	11.5481
16	auto	4	6.61539	12.4118
16	auto	8	6.64057	12.3647
16	auto	16	6.70806	12.2403
18	static	1	6.07539	13.515
18	static	4	6.0611	13.5468
18	static	8	6.36366	12.9028
18	static	16	6.36863	12.8927
18	dynamic	1	6.89547	11.9076
18	dynamic	4	6.69409	12.2659
18	dynamic	8	6.50776	12.6171
18	dynamic	16	6.35676	12.9168
18	guided	1	6.04257	13.5884
18	guided	4	6.28026	13.0741
18	guided	8	6.3113	13.0098
18	guided	16	6.3712	12.8875
18	auto	1	6.23149	13.1764
18	auto	4	6.28855	13.0569
18	auto	8	6.17123	13.3051
18	auto	16	6.38668	12.8563
20	static	1	5.80893	14.1349
20	static	4	5.72984	14.33
20	static	8	5.58453	14.7029
20	static	16	5.1599	15.9128
20	dynamic	1	6.58246	12.4739
20	dynamic	4	6.41623	12.797
20	dynamic	8	6.04387	13.5855
20	dynamic	16	6.008	13.6666
20	guided	1	5.88189	13.9596
20	guided	4	5.92019	13.8693
20	guided	8	5.92962	13.8472
20	guided	16	5.9867	13.7152
20	auto	1	5.55403	14.7836
20	auto	4	5.80994	14.1325
20	auto	8	5.94216	13.818
20	auto	16	5.99096	13.7054
22	static	1	6.27378	13.0876
22	static	4	6.35044	12.9296
22	static	8	6.3919	12.8458
22	static	16	6.09754	13.4659
22	dynamic	1	6.58784	12.4637
22	dynamic	4	6.42815	12.7733
22	dynamic	8	6.22527	13.1896
22	dynamic	16	6.02605	13.6256
22	guided	1	5.58124	14.7116
22	guided	4	5.83219	14.0785
22	guided	8	5.88882	13.9432
22	guided	16	6.25117	13.1349
22	auto	1	5.95432	13.7898
22	auto	4	6.13241	13.3893
22	auto	8	6.15898	13.3316
22	auto	16	6.2425	13.1532
24	static	1	6.33924	12.9525
24	static	4	6.13204	13.3901
24	static	8	6.12145	13.4133
24	static	16	6.07707	13.5112
24	dynamic	1	6.39774	12.834
24	dynamic	4	6.25249	13.1322
24	dynamic	8	5.80318	14.1489
24	dynamic	16	5.8114	14.1289
24	guided	1	5.90509	13.9048
24	guided	4	5.91584	13.8795
24	guided	8	5.94692	13.8069
24	guided	16	5.90766	13.8987
24	auto	1	5.91175	13.8891
24	auto	4	5.92053	13.8685
24	auto	8	5.95711	13.7833
24	auto	16	6.0057	13.6718
26	static	1	6.19054	13.2636
26	static	4	6.05514	13.5602
26	static	8	5.98271	13.7243
26	static	16	5.6984	14.4091
26	dynamic	1	6.21075	13.2204
26	dynamic	4	6.05528	13.5599
26	dynamic	8	5.85639	14.0204
26	dynamic	16	5.63368	14.5746
26	guided	1	5.46161	15.0338
26	guided	4	5.74492	14.2924
26	guided	8	5.77679	14.2136
26	guided	16	5.81704	14.1152
26	auto	1	5.7203	14.3539
26	auto	4	5.73393	14.3198
26	auto	8	5.75911	14.2572
26	auto	16	5.44315	15.0848
28	static	1	6.22121	13.1982
28	static	4	6.0359	13.6034
28	static	8	5.96791	13.7584
28	static	16	5.80892	14.1349
28	dynamic	1	5.53365	14.8381
28	dynamic	4	5.96418	13.767
28	dynamic	8	5.73199	14.3247
28	dynamic	16	5.49022	14.9555
28	guided	1	5.60077	14.6603
28	guided	4	5.57368	14.7315
